"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CH","2026-07-06","87.3","1.92","5.99","Sánchez, Cristopher",521692,650911,"double","hit_into_play",,,,,5,"Salvador Perez doubles (12) on a ground ball to left fielder Edmundo Sosa. Bobby Witt Jr. to 3rd.","R","R","L","KC","PHI","X",7,"ground_ball",2,0,2026,"1.35","0.14",0.1780049326204063,2.387403459865332,,,677951,1,4,"Bot",52.64,122.68,,,,,-7.058080067232183,-127.02672810756248,-2.6326286935208296,16.077952229028575,25.35854600346959,-30.34051782617332,3.312155512,1.671555118,85,"95.2",4,"88.5",2149,"7",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.5",0.471,0.438,"1.25",1,1,1,4,43,3,"Changeup",9,1,9,1,1,9,9,1,"Standard","Standard",115,"0.003","0.693","78.4","8.3",,0.528,"-0.693","95.2",8,8,0.99,0.99,29,36,30,36,3,2,6,1,,1,"2.85","1.35","-1.35","31.8",23.43884780675445,-13.889267699093782,33.089266476948374,38.994027054372985,39.643156678794924
"CH","2026-07-06","88.2","1.97","5.98","Sánchez, Cristopher",521692,650911,,"blocked_ball",,,,,13,,"R","R","L","KC","PHI","B",,,1,0,2026,"1.38","0.08",-0.37618306343069796,0.4245229916043174,,,677951,1,4,"Bot",,,,,,,-8.65757790000962,-128.01594750825447,-7.381215491294268,16.92103990314217,26.83499824254151,-29.860570438279044,3.312155512,1.671555118,,,,"89.4",2147,"7.2",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.31",,,,,,,,43,2,"Changeup",9,1,9,1,1,9,9,1,"Infield shade","Standard",115,"0","0.072",,,,,"-0.072",,8,8,0.99,0.99,29,36,30,36,3,2,6,1,,1,"2.87","1.38","-1.38","31.0",,,,,
"SI","2026-07-06","95.7","1.92","5.97","Sánchez, Cristopher",521692,650911,,"ball",,,,,13,,"R","R","L","KC","PHI","B",,,0,0,2026,"1.38","0.45",-0.7830963410154304,1.2616940776913002,,,677951,1,4,"Bot",,,,,,,-10.331246585269383,-138.9071114733456,-7.636098595591786,20.191403154848604,30.128619527969292,-24.83181048887507,3.312155512,1.671555118,,,,"96.8",2260,"7",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.52",,,,,,,,43,1,"Sinker",9,1,9,1,1,9,9,1,"Standard","Standard",126,"0","0.035",,,,,"-0.035",,8,8,0.99,0.99,29,36,30,36,3,2,6,1,,1,"2.05","1.38","-1.38","33.2",,,,,
"SL","2026-07-06","86.4","1.78","6.06","Sánchez, Cristopher",677951,650911,"single","hit_into_play",,,,,13,"Bobby Witt Jr. singles on a sharp line drive to left fielder Edmundo Sosa.","R","R","L","KC","PHI","X",7,"line_drive",2,2,2026,"0.14","-0.45",-0.5002357296177654,1.3093412258391326,,,,1,4,"Bot",80.74,124.76,,,,,-5.680220520091926,-125.68137274579387,-3.8759768623765716,2.7145140892847017,27.610579213989887,-36.237530393616694,3.238435039,1.634350394,218,"107.9",11,"86.7",2122,"6.7",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.8",0.946,0.961,"0.9",1,1,0,5,42,5,"Slider",9,1,9,1,1,9,9,1,"Standard","Standard",317,"0.001","0.448","78.5","7.4",,1.284,"-0.448","107.9",8,8,0.989,0.989,29,26,30,26,3,2,6,1,,1,"3.52","0.14","-0.14","35.1",7.074434423364425,-8.79614489368971,35.94447245985451,28.917305439572644,33.15529122515214
"CH","2026-07-06","88.2","1.96","5.95","Sánchez, Cristopher",677951,650911,,"ball",,,,,14,,"R","R","L","KC","PHI","B",,,1,2,2026,"1.36","-0.04",0.6339985128010839,0.8517650253188656,,,,1,4,"Bot",,,,,,,-6.146621934919797,-128.29076771700298,-6.0435181422616004,16.315906491856765,25.084544974485997,-31.649286906231644,3.238435039,1.634350394,,,,"89.5",2123,"7",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.51",,,,,,,,42,4,"Changeup",9,1,9,1,1,9,9,1,"Standard","Standard",116,"0","0.056",,,,,"-0.056",,8,8,0.989,0.989,29,26,30,26,3,2,6,1,,1,"2.96","1.36","-1.36","30.7",,,,,
"SL","2026-07-06","86.4","1.74","6.07","Sánchez, Cristopher",677951,650911,,"swinging_strike",,,,,13,,"R","R","L","KC","PHI","S",,,1,1,2026,"0.12","-0.38",-0.6194734163071139,0.9558983341718754,,,,1,4,"Bot",,,,,,,-5.846390872574818,-125.60960135940564,-4.910098697324711,2.4749368139373367,26.227507454312974,-35.38268850277214,3.238435039,1.634350394,,,,"86.9",2110,"6.8",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.74",,,,,,,,42,3,"Slider",9,1,9,1,1,9,9,1,"Standard","Standard",310,"0","-0.074","76.9","8.4","2.536969212",,"0.074",,8,8,0.989,0.989,29,26,30,26,3,2,6,1,,1,"3.45","0.12","-0.12","35.0",23.157327856707294,-35.09160399383387,38.4711897277665,29.08622035559427,46.627434736397774
"CH","2026-07-06","86.9","1.91","5.98","Sánchez, Cristopher",677951,650911,,"swinging_strike",,,,,14,,"R","R","L","KC","PHI","S",,,1,0,2026,"1.33","0.07",0.16448076650030186,1.3670840997984923,,,,1,4,"Bot",,,,,,,-6.99863784114628,-126.34005544664781,-4.81578667926502,15.640172373611144,25.2337620719209,-30.65656263032284,3.238435039,1.634350394,,,,"88.1",2093,"7",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.47",,,,,,,,42,2,"Changeup",9,1,9,1,1,9,9,1,"Standard","Standard",114,"0","-0.05","78.2","8.1","1.609123224",,"0.05",,8,8,0.989,0.989,29,26,30,26,3,2,6,1,,1,"2.95","1.33","-1.33","30.5",15.717419612851392,-20.516206315693125,36.00629722631843,37.61515498334131,40.19053615507606
"SI","2026-07-06","94.6","1.94","6.01","Sánchez, Cristopher",677951,650911,,"ball",,,,,13,,"R","R","L","KC","PHI","B",,,0,0,2026,"1.56","0.27",-1.046378472927391,1.2446680973569748,,,,1,4,"Bot",,,,,,,-11.312350713742752,-137.1028740358703,-7.108339619309607,22.24358297607919,30.84364057544025,-27.263329777866307,3.238435039,1.634350394,,,,"95.2",2073,"6.9",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.6",,,,,,,,42,1,"Sinker",9,1,9,1,1,9,9,1,"Standard","Standard",121,"0","0.041",,,,,"-0.041",,8,8,0.989,0.989,29,26,30,26,3,2,6,1,,1,"2.3","1.56","-1.56","32.1",,,,,
"CH","2026-07-06","88.5","1.89","5.9","Sánchez, Cristopher",657041,650911,"home_run","hit_into_play",,,,,7,"Lane Thomas homers (6) on a fly ball to left center field.","R","R","L","KC","PHI","X",,"fly_ball",0,1,2026,"1.35","0.06",-0.30299993492902266,1.7435400828680483,,,,1,4,"Bot",50.98,53.87,,,,,-8.20271796817159,-128.66383253843966,-4.007679986973141,16.663296574111932,25.213617370579204,-30.8469596515764,3.146284449,1.587844488,403,"101.6",24,"89.4",2197,"6.7",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.75",0.623,1.02,"2",1,0,3,6,41,2,"Changeup",8,1,8,1,1,9,9,1,"Standard","Standard",114,"0.009","1.626","71.6","7.0",,1.85,"-1.626","101.6",7,7,0.98,0.98,29,30,30,31,3,2,6,1,,1,"2.84","1.35","-1.35","30.8",11.935405972192376,-4.052900357370911,36.35479235952615,34.19397432095429,31.902644935076857
"SL","2026-07-06","85.8","1.82","6","Sánchez, Cristopher",657041,650911,,"swinging_strike",,,,,13,,"R","R","L","KC","PHI","S",,,0,0,2026,"-0.19","-0.39",-1.4990943242628132,0.9330235468640531,,,,1,4,"Bot",,,,,,,-7.4250542108603605,-124.79679175023348,-4.718016691078426,-0.5377557465488004,23.729878859798585,-35.55441334651083,3.146284449,1.587844488,,,,"86.6",2084,"6.7",824089,592663,547180,681082,664761,607208,624641,656537,669016,"53.78",,,,,,,,41,1,"Slider",8,1,8,1,1,8,8,1,"Standard","Standard",326,"0","-0.043","75.9","8.5","6.824482512",,"0.043",,7,7,0.98,0.98,29,30,30,31,3,2,6,1,,1,"3.48","-0.19","0.19","34.1",30.51063145050679,-53.76027030810481,35.89365338153568,22.307293917800656,53.50478753864505
