"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CU","2026-07-07","90.3","-1.7","5.33","Misiorowski, Jacob",701675,694819,"field_out","hit_into_play",,,,,1,"Nathan Church grounds out, third baseman Joey Ortiz to first baseman Andrew Vaughn.","R","L","R","STL","MIL","X",5,"ground_ball",1,2,2026,"0.29","-0.74",-0.6803427629543212,2.643671467419048,,,,2,7,"Bot",102.15,159.79,,,,,1.9109177295828954,-131.5180086541741,1.100570654340402,3.00889373571111,28.214577961296666,-41.172169061115476,3.112934711,1.57101378,25,"82.6",-4,"92.4",2274,"7.5",823062,661388,683734,668930,687401,806198,694192,669003,686217,"53.01",0.183,0.165,"0",1,0,0,2,57,7,"Curveball",3,4,3,4,4,3,3,4,"Strategic","Strategic",44,"-0.017","-0.177","62.2","6.2",,0.2,"0.177","88.0",-1,-1,0.272,0.272,24,25,24,26,3,2,5,1,,0,"3.53","-0.29","0.29","40.2",-10.953139466392376,15.45138088993004,30.28009147224669,47.08052353162271,20.23532510548557
"FF","2026-07-07","103.4","-1.82","5.28","Misiorowski, Jacob",701675,694819,,"foul",,,,,11,,"R","L","R","STL","MIL","S",,,1,2,2026,"-0.7","1.52",-0.5950029580024181,3.3363073551489,,,,2,7,"Bot",,,,,,,5.302931067537737,-150.41450238749167,-3.98804277641051,-12.001440260411742,38.1414174537026,-8.429599358040784,3.112934711,1.57101378,213,"76.9",41,"105.3",2735,"7.4",823062,661388,683734,668930,687401,806198,694192,669003,686217,"53.08",,,,,,,,57,6,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Strategic","Strategic",209,"0","0","66.2","6.4",,,"0","88.0",-1,-1,0.272,0.272,24,25,24,26,3,2,5,1,,0,"0.62","0.7","-0.7","31.9",0.6533078379838768,24.43646562197744,19.65704193864132,47.232928028214545,20.40367862358903
"CU","2026-07-07","90.8","-1.65","5.19","Misiorowski, Jacob",701675,694819,,"foul",,,,,13,,"R","L","R","STL","MIL","S",,,1,2,2026,"0.19","-0.79",-0.2679931350027969,0.5651272859643512,,,,2,7,"Bot",,,,,,,3.0852228654344755,-132.21396116731597,-3.796907568273236,1.558561807665756,27.172821580711567,-40.846198898930815,3.112934711,1.57101378,,,,"93.3",2458,"7.7",823062,661388,683734,668930,687401,806198,694192,669003,686217,"52.84",,,,,,,,57,5,"Curveball",3,4,3,4,4,3,3,4,"Strategic","Strategic",57,"0","0","58.8","8.0",,,"0",,-1,-1,0.272,0.272,24,25,24,26,3,2,5,1,,0,"3.54","-0.19","0.19","36.2",5.555926768713261,-1.9637372509736888,37.278623326254035,42.886822335879174,30.306750888314305
"FF","2026-07-07","103","-1.85","5.17","Misiorowski, Jacob",701675,694819,,"foul",,,,,2,,"R","L","R","STL","MIL","S",,,1,2,2026,"-0.83","1.18",-0.20889835595558615,2.7140360940779162,,,,2,7,"Bot",,,,,,,6.892363262124909,-149.9563135546955,-4.689401396740007,-14.06130040560111,33.480735055502834,-13.417312237277885,3.112934711,1.57101378,,"88.4",19,"106.9",2690,"8.1",823062,661388,683734,668930,687401,806198,694192,669003,686217,"52.4",,,,,,,,57,4,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Strategic","Strategic",214,"0","0","61.9","5.8",,,"0","88.4",-1,-1,0.272,0.272,24,25,24,26,3,2,5,1,,0,"0.95","0.83","-0.83","31.8",-4.435791059707531,38.698228911112075,32.78553666814838,42.64410010830956,13.074319137265519
"FF","2026-07-07","102.6","-1.94","5.23","Misiorowski, Jacob",701675,694819,,"swinging_strike",,,,,11,,"R","L","R","STL","MIL","S",,,1,1,2026,"-0.75","1.15",-0.8118331826362837,3.61684476888352,,,,2,7,"Bot",,,,,,,5.110166571707827,-149.4193275886356,-2.0561298343462324,-12.45819573648049,36.05590469932859,-14.684360618169725,3.112934711,1.57101378,,,,"105",2687,"7.5",823062,661388,683734,668930,687401,806198,694192,669003,686217,"53.01",,,,,,,,57,3,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Standard","Strategic",209,"-0.006","-0.07","63.0","5.6","5.3675691",,"0.07",,-1,-1,0.278,0.278,24,25,24,26,3,2,5,1,,0,"1.01","0.75","-0.75","33.4",-11.19274438071567,39.525767881395424,34.265609142378366,49.36665841444916,3.6724503003758624
"FF","2026-07-07","102.1","-1.86","5.15","Misiorowski, Jacob",701675,694819,,"ball",,,,,12,,"R","L","R","STL","MIL","B",,,0,1,2026,"-0.82","1.18",1.1790101380665663,2.4877932895559987,,,,2,7,"Bot",,,,,,,10.733793306436095,-148.37859866875382,-5.096913568162584,-14.580864108638023,33.343125841423905,-13.6274514370888,3.112934711,1.57101378,,,,"105.1",2694,"7.8",823062,661388,683734,668930,687401,806198,694192,669003,686217,"52.72",,,,,,,,57,2,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Standard","Strategic",212,"0.003","0.034",,,,,"-0.034",,-1,-1,0.275,0.275,24,25,24,26,3,2,5,1,,0,"1","0.82","-0.82","29.5",,,,,
"CU","2026-07-07","89.5","-1.66","5.3","Misiorowski, Jacob",701675,694819,,"called_strike",,,,,5,,"R","L","R","STL","MIL","S",,,0,0,2026,"0.56","-0.71",-0.035577759001265585,2.132111768411204,,,,2,7,"Bot",,,,,,,2.8219065111924535,-130.3332279445526,-0.09646737463855515,5.877561870156165,26.205673109233075,-40.42930202274989,3.112934711,1.57101378,,,,"92.4",2242,"7.9",823062,661388,683734,668930,687401,806198,694192,669003,686217,"52.63",,,,,,,,57,1,"Curveball",3,4,3,4,4,3,3,4,"Standard","Strategic",41,"-0.004","-0.046",,,,,"0.046",,-1,-1,0.279,0.279,24,25,24,26,3,2,5,1,,0,"3.54","-0.56","0.56","40.3",,,,,
"CU","2026-07-07","90.4","-1.86","5.28","Misiorowski, Jacob",663494,694819,"strikeout","called_strike",,,,,1,"Bryan Torres challenged (pitch result), call on the field was confirmed: Bryan Torres called out on strikes.","R","L","R","STL","MIL","S",2,,0,2,2026,"0.12","-0.43",-0.5325228262977627,3.034446181967993,,,,1,7,"Bot",,,,,,,3.079401931518809,-131.672860894276,1.4859502827875064,0.7630734120336782,27.13701424038401,-37.68386770224925,2.975147638,1.501476378,,,,"92.6",2295,"7.5",823062,661388,683734,668930,687401,806198,694192,669003,686217,"53",,0,"0",1,0,0,,56,3,"Curveball",3,4,3,4,4,3,3,4,"Strategic","Strategic",52,"-0.022","-0.166",,,,,"0.166",,-1,-1,0.301,0.301,24,28,24,29,3,2,5,1,,0,"3.2","-0.12","0.12","35.8",,,,,
"FF","2026-07-07","102.2","-2.1","5","Misiorowski, Jacob",663494,694819,,"foul_bunt",,,,,5,,"R","L","R","STL","MIL","S",,,0,1,2026,"-0.87","1.07",0.1059985893856793,1.9820649345922605,,,,1,7,"Bot",,,,,,,8.493443447501702,-148.6926742470562,-5.891504757732985,-14.788831839145274,28.924690961690494,-15.036452136693285,2.975147638,1.501476378,,,,"105.7",2766,"7.7",823062,661388,683734,668930,687401,806198,694192,669003,686217,"52.81",,,,,,,,56,2,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Standard","Strategic",214,"-0.009","-0.055","11.7","1.9",,,"0.055","88.0",-1,-1,0.31,0.31,24,28,24,29,3,2,5,1,,0,"1.08","0.87","-0.87","26.0",-67.46598545796911,-108.81292276064057,60.23146904025607,37.603651368003625,22.182431051046017
"FF","2026-07-07","101.1","-1.8","5.05","Misiorowski, Jacob",663494,694819,,"foul",,,,,6,,"R","L","R","STL","MIL","S",,,0,0,2026,"-1.08","1.24",0.4080705015010817,2.177096987877849,,,,1,7,"Bot",,,,,,,8.913660998659402,-146.97062805284395,-5.65363091061936,-17.763709850245984,33.3266271454381,-12.989423469735055,2.975147638,1.501476378,360,"100.9",28,"103.7",2668,"7.6",823062,661388,683734,668930,687401,806198,694192,669003,686217,"52.87",,,,,,,,56,1,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Standard","Strategic",217,"-0.006","-0.043","68.7","7.0",,,"0.043","100.9",-1,-1,0.316,0.316,24,28,24,29,3,2,5,1,,0,"0.99","1.08","-1.08","30.2",17.494522053972958,-13.395884847722217,31.64205552460452,31.921003006278816,38.09571782783509
