Pitcher,Pitch,Count,Usage%,Velo,VeloSD,Spin,HMov,VMov,Extension
Ohtani,CU,133,10.0,75.2,2.9,2651.0,1.1,-1.2,6.39
Ohtani,FF,603,45.2,98.1,1.4,2486.0,-0.4,1.2,6.66
Ohtani,FS,114,8.5,89.0,1.8,1564.0,-1.1,0.2,6.67
Ohtani,SI,68,5.1,96.5,1.6,2231.0,-1.2,0.5,6.69
Ohtani,SL,15,1.1,88.0,1.8,2593.0,0.3,-0.1,6.49
Ohtani,ST,393,29.4,85.0,2.1,2726.0,1.3,0.3,6.55
Sanchez,CH,702,39.0,86.9,1.2,2027.0,1.4,-0.1,7.02
Sanchez,SI,764,42.4,95.2,1.0,2137.0,1.5,0.4,6.92
Sanchez,SL,334,18.6,86.1,1.3,2074.0,-0.1,-0.3,6.84
Misiorowski,CH,28,1.7,92.5,1.3,2037.0,-1.3,0.4,7.44
Misiorowski,CU,186,11.2,87.9,1.5,2224.0,0.5,-0.7,7.25
Misiorowski,FC,226,13.6,96.0,1.2,2577.0,0.1,0.6,7.55
Misiorowski,FF,1048,63.1,100.5,1.8,2620.0,-0.9,1.3,7.56
Misiorowski,SL,172,10.3,92.6,1.7,2531.0,0.3,0.3,7.45
